seed,sample,ranking_score
1,0,0.9223239443100306
1,1,0.9216546692043489
1,2,0.9237253635792966
1,3,0.9211443695556121
1,4,0.9166434282878679
2,0,0.9322441329547051
2,1,0.9306482650914246
2,2,0.9323437078953157
2,3,0.9278450172954695
2,4,0.9359136338884451
3,0,0.9340093249468233
3,1,0.9348759879345726
3,2,0.9341291976100526
3,3,0.9319635163464329
3,4,0.9335162431138806
4,0,0.9188280182702255
4,1,0.92209929155778
4,2,0.9187469720299463
4,3,0.9198624401140455
4,4,0.922051986500392
5,0,0.9303825809523438
5,1,0.9311381227171844
5,2,0.9337767950171623
5,3,0.9277145672459965
5,4,0.927548915223717
6,0,0.9325311653579572
6,1,0.9168352303133187
6,2,0.9300335265551941
6,3,0.9309499464046533
6,4,0.929215128661694
